sentence	label
岚皋县检察院：制作广告牌营造平安建设氛围	0
【转载至三湘都市报】视频“美女护士”微信加好友，因为他们想要……	1
这视频太喜剧了，贵州这里养猪竟然要给它们听“小苹果”！	0
广西移动不限量资费，移动偷偷的给改了！不知道大家发现没有！之	1
全国流窜作案，2男子通过招嫖诈骗嫖客200元保证金！10天被抓获！	1
法律援助伸援手 帮助百姓解难事	0
【决胜基本解决执行难】＂百日风暴＂进行时!覃塘法院联合出动百余人清除林木， 十余亩地如数归还申请人	0
新华社:中国航天事业已在世界占一席之地 办公室大逃亡_业界资讯_...	0
视频追踪再发力  南山警方连破入室盗窃案	0
汉中一砂石车超载400％，司机被罚两千	1
投诉主题：关于我组的自来水和水管严重污染事件	1
【围观】昨日，晋城书院街遭遇突击检查!围观的人都拍手叫好……	0
西安博文学校女生遭6名同学围殴  被轮番扇耳光	1
萧山临浦姑娘把自建房打造成绝美花园!镇长专程探访养花达人	0
麻章交警抓获在逃肇事者清理积案受称赞	0
“成都甲流传播200人死亡”造谣传播者已被行拘	1
歙县：关爱残疾人 温情满丰乐	0
重庆警方破获特大跨省产销假烟案 缴获假烟2万余条_生产	0
争做出彩河南人｜新时代的好法官李庆军	0
第三铺乡卫生院党支部开展“送温暖献爱心”志愿服务活动	0
阳煤集团右玉元堡子煤矿瞒报死亡事故 死者王建峰_中国煤炭期刊网	1
盐城移动volte电话 成功实现省内多地区互通	0
温州市未成年人“女德班”被关停_10_山西新闻网 - 主流媒体 山西...	1
东营经济技术开发区一项目获全市“2018年度人社系统工作创新奖”	0
民有所呼我有所应 利剑出鞘保平安	0
爱心助困(作者：井江文）	0
张学友演唱会第三次抓到逃犯了！他怕不是警方安插的卧底吧？	0
套路！说好的帮忙还款却私吞了钱！	1
就是她 为35块钱撞死人	1
小区电梯内被扔狗屎，物业被逼蹲守电梯，按摩店老板以恶惩恶?	1
youtube视频涉嫌包含儿童色情内容 迪士尼、雀巢等公司撤出广告投资	1
真汉子！水管工为抢修寒冬跳入冰水井 一天衣服湿几次	0
造假还不够，明镜周刊知名记者被曝曾擅自募捐并侵吞善款	1
盗用qq诈骗45万，嫌疑人潜逃5年被抓获	1
江苏ppp落地率52% 显著高于全国平均水平	0
独居老人养鸡换钱　凄苦晚年让人心酸	1
【沿海党建】一根扁担便民富民，一片丹心许党许国	0
稻河湾小区竟有10多个鸡舍	1
北斗系统总师：卫星导航性能、服务进入增强时代	0
家有喜事!莱芜这2户家庭获得国家级荣誉!是你邻居吗?	0
七邻里社区全力推进违建拆除	0
打着精准扶贫的幌子骗取贫困群众钱财	1
全县党政机关事业单位干部通用基本能力提升培训骨干班开班	0
乌尔禾区档案局支部党员开展困难家庭慰问活动	0
呼伦贝尔一超市收银员上演“无间道”，侵吞9.7万营业款！	1
省外“遥控指挥”在川制假售假	1
紫云公安助力28年寻亲女子与亲人团聚 可她父母和哥哥也离世	0
女子27楼自拍坠亡	1
投诉主题：投诉易行商旅诱导他人办卡	1
济南市民购买泉城旺角商铺遇麻烦，至今办不了不动产权证	1
小孩手被卡车门  九江特勤消防官兵火速救援	0
中机国际荣誉墙再添“巾帼岗位明星”殊荣	0
稷山小伙杀人后逃跑，隐姓埋名18年……	1
恶劣至极，央视都曝光了!南通如东一医药企业将槽罐车改成洒水车，夜间偷排高浓度废水...丢大发了!	1
灌南一男子不幸身亡，器官捐赠救3人，感动所有人!	0
亿利资源集团四个项目入选首批全国林业产业投资基金项目库	0
落实ppp模式，强力助力旅游发展	0
王艳春、周小兵与陈月勤、淮安市旭日通信工程有限公司等建设工程施工合同纠纷一审民事判决书	1
四里河街道“三学同步”开展党的十九大精神网上知识问答活动	0
【时政要闻】副省长王一新在岚县前祁村帮扶调研 王立伟陪同	0
鹤壁中院：“五最工作法”助速审判 当庭裁判率提升显著	0
腾讯与中国联通携手发布物联网sim卡 共建物联网安全生态体系_it...	0
省内多家主流媒体关注 中国吉林网全媒体手段全方位播报启幕盛况	0
